URL SITE,YOUTUBE,TIME,Difficulty
https://www.24kitchen.pt/receita/bolo-do-conde-de-alcacovas,https://www.youtube.com/watch?v=HWrRj5OOq-U&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=39,60,hard
https://www.24kitchen.pt/receita/sandes-de-casca-de-banana,https://www.youtube.com/watch?v=JTxabo9Fn74&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=42,45,medium
https://www.24kitchen.pt/receita/empadao-1,https://www.youtube.com/watch?v=I1UIkuYxd7c&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=41,45,medium
https://www.24kitchen.pt/receita/bolo-humido-e-delicioso-e-vegano,https://www.youtube.com/watch?v=vrztgY6rR-A&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=43,90,hard
https://www.24kitchen.pt/receita/bolinhol-de-vizela,https://www.youtube.com/watch?v=kGOUIMOFaBQ&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=46,45,medium
https://www.24kitchen.pt/receita/bolo-de-figos-e-cenoura,https://www.youtube.com/watch?v=ExffNncpEIo&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=44,45,medium
https://www.24kitchen.pt/receita/toucinho-do-ceu-1,https://www.youtube.com/watch?v=SE6EsUFexB0&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=45,45,medium
https://www.24kitchen.pt/receita/rosti,https://www.youtube.com/watch?v=G6JrZVKcSvA&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=48,45,medium
https://www.24kitchen.pt/receita/batata-recheada-1,https://www.youtube.com/watch?v=bTbnGt_PQDo&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=49,60,hard
https://www.24kitchen.pt/receita/bolo-de-batata-e-chocolate,https://www.youtube.com/watch?v=BKcukoYYmKE&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=47,60,hard
https://www.24kitchen.pt/receita/salada-de-grao,https://www.youtube.com/watch?v=ISkugtAXFb8&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=51,45,medium
https://www.24kitchen.pt/receita/vieiras-porreiras,https://www.youtube.com/watch?v=72x29OZbmEM&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=50,60,hard
https://www.24kitchen.pt/receita/pavlova-1,https://www.youtube.com/watch?v=iPiWnFsod8k&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=52,90,hard
https://www.24kitchen.pt/receita/abobora-recheada,https://www.youtube.com/watch?v=JLJBCyNyF4Q&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=53,300,hard
https://www.24kitchen.pt/receita/dan-dan-noodles,https://www.youtube.com/watch?v=jLQAjkGZACA&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=55,45,medium
https://www.24kitchen.pt/receita/cheesecake-de-baklava,https://www.youtube.com/watch?v=_lxlGnM-NyM&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=54,60,hard
https://www.24kitchen.pt/receita/massa-rancho,https://www.youtube.com/watch?v=g6QtdB5o_bk&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=57,60,hard
https://www.24kitchen.pt/receita/carne-de-porco-a-portuguesa,https://www.youtube.com/watch?v=xUEinTFQTxQ&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=58,45,medium
https://www.24kitchen.pt/receita/pasteis-de-tentugal,https://www.youtube.com/watch?v=Mp4lQDCvek0&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=56,45,medium
https://www.24kitchen.pt/receita/rolinhos-de-caranguejo,https://www.youtube.com/watch?v=EE19AIyRTCo&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=59,45,medium
https://www.24kitchen.pt/receita/delirio-de-ervilhas,https://www.youtube.com/watch?v=tg583GI8Q9k&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=62,45,medium
https://www.24kitchen.pt/receita/tartezinhas,https://www.youtube.com/watch?v=Hq8YWFBqm5M&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=60,60,hard
https://www.24kitchen.pt/receita/polvo-e-salada,https://www.youtube.com/watch?v=W9xtQa0TqQc&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=64,60,hard
https://www.24kitchen.pt/receita/empata,https://www.youtube.com/watch?v=8Zc-7C1Iu2I&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=63,45,medium
https://www.24kitchen.pt/receita/bolo-de-laranja,https://www.youtube.com/watch?v=0tuPUcs8zh8&list=PLECcAmNHq4DCkbwHxLo9Xe9wBs3n5ST3o&index=61,45,medium
https://www.24kitchen.pt/receita/chorinha-de-peixe,https://www.youtube.com/watch?v=bpJ4egkoJyg,45,medium
https://www.24kitchen.pt/receita/torta-viana,https://www.youtube.com/watch?v=QK-ze4-3HIU,45,medium
https://www.24kitchen.pt/receita/caldo-verde-braga,https://www.youtube.com/watch?v=Fj5cn5sAj10,45,medium
https://www.24kitchen.pt/receita/cabrito-assado-braga,https://www.youtube.com/watch?v=l78TnjuZ2Kc,500,hard
https://www.24kitchen.pt/receita/pudim-abade-de-priscos,https://www.youtube.com/watch?v=zVFijpaNjtY,60,hard
https://www.24kitchen.pt/receita/milho-ribeira-pena,https://www.youtube.com/watch?v=FeFWWuf1hcU,500,hard
https://www.24kitchen.pt/receita/bacalhau-bruxa-valpacos,https://www.youtube.com/watch?v=Fh3j7fgo_aY,45,medium
https://www.24kitchen.pt/receita/vitela-assada,https://www.youtube.com/watch?v=A6k_A3pdnyU,60,hard
https://www.24kitchen.pt/receita/sopa-chicharros-verdes,https://www.youtube.com/watch?v=IXoWoI3TZik,60,hard
https://www.24kitchen.pt/receita/alheira-transmontana,https://www.youtube.com/watch?v=ZnBSYyAefuY,30,easy
https://www.24kitchen.pt/receita/papos-de-anjo-braganca,https://www.youtube.com/watch?v=Bx75YJJGf8M,45,medium
https://www.24kitchen.pt/receita/bola-presunto-viseu,https://www.youtube.com/watch?v=h93Ef7l8dyo,120,hard
https://www.24kitchen.pt/receita/arroz-pato-lafoes,https://www.youtube.com/watch?v=cvW9-cdj0M8,120,hard
https://www.24kitchen.pt/receita/bacalhau-assado-com-batatas,https://www.youtube.com/watch?v=7YlLLbLNXjc,45,medium
https://www.24kitchen.pt/receita/bolo-de-castanha-com-calda,https://www.youtube.com/watch?v=eyEastA8a6I,45,medium
https://www.24kitchen.pt/receita/coelho-cacador,https://www.youtube.com/watch?v=fQHiZAg1QlM,90,hard
https://www.24kitchen.pt/receita/arroz-doce-de-coco-e-banana,https://www.youtube.com/watch?v=43sbCowVoN8,45,medium
https://www.24kitchen.pt/receita/ameijoas-bulhao-pato-porto,https://www.youtube.com/watch?v=wFx2s71sj1U,30,easy
https://www.24kitchen.pt/receita/bacalhau-gomes-de-sa-porto,https://www.youtube.com/watch?v=QxXfRx6iuYQ,45,medium
https://www.24kitchen.pt/receita/tripas-moda-do-porto,https://www.youtube.com/watch?v=u5YiicLbTaE,180,hard
https://www.24kitchen.pt/receita/rojoes-a-moda-de-aveiro,https://www.youtube.com/watch?v=jHFR4Po5vEI,45,medium
https://www.24kitchen.pt/receita/pao-de-lo-de-ovar,https://www.youtube.com/watch?v=jmQsK2KTa9I,45,medium
https://www.24kitchen.pt/receita/tiborna-bacalhau,https://www.youtube.com/watch?v=GSVnbtKMKOk,60,hard
https://www.24kitchen.pt/receita/chanfana-coimbra,https://www.youtube.com/watch?v=oPsFHm1qk7Q,120,hard
https://www.24kitchen.pt/receita/moelas-coimbra,https://www.youtube.com/watch?v=8aywnrjRdpg,30,easy
https://www.24kitchen.pt/receita/pudim-clarissas,https://www.youtube.com/watch?v=1R2dTX4StcI,60,hard
https://www.24kitchen.pt/receita/figados-de-cebolada,https://www.youtube.com/watch?v=du7KW6JstGg,240,hard
https://www.24kitchen.pt/receita/tigelada-castelo-branco,https://www.youtube.com/watch?v=VykHXLJqJ5I,60,hard
https://www.24kitchen.pt/receita/sopa-beira-castelo-branco,https://www.youtube.com/watch?v=TfqI25dWxm0,60,hard
